HelpView.xaml | –  User Guide
BackupView.xaml | (Skip = ignore, Overwrite = replace)
ClientManagementView.xaml | (type to filter)
MainWindow.xaml | _Admin
MainWindow.xaml | _Backup/Restore
MainWindow.xaml | _Clients
MainWindow.xaml | _Exit
MainWindow.xaml | _File
MainWindow.xaml | _Generate Report
MainWindow.xaml | _Import
MainWindow.xaml | _Manage
MainWindow.xaml | _Reports
MainWindow.xaml | _Tasks
MainWindow.xaml | _Users
MainWindow.xaml | _Vehicles
MainWindow.xaml | ✏️
HelpView.xaml | ⚙️ Data Management
Splash.xaml | 2026 - Insights®
MainWindow.xaml | About
WorkOrderDetailWindow.xaml | Accessory
AccessoryManagementView.xaml | Actions
VehicleManagementView.xaml | Active
ClientEditWindow.xaml | Active:
UserManagementView.xaml | Add
AccessoryManagementView.xaml | Add New Task
HelpView.xaml | Add notes or travel records as needed.
WorkOrderDetailWindow.xaml | Add Task
HelpView.xaml | Add tasks (accessories) – type, quantity, price, and time.
WorkOrderDetailWindow.xaml | Add Travel
HelpView.xaml | Add travel records (destination, distance, cost) if applicable.
HelpView.xaml | Add, edit, or delete clients in the Client Management window.
ClientEditWindow.xaml | Address:
HelpView.xaml | Admin – full access (manage users, settings, backup, all data).
HelpView.xaml | All vehicles and clients are imported regardless of Etat or date.
HelpView.xaml | All vehicles linked to the source clients are automatically reassigned to the master client.
PriceUpdateView.xaml | Also update default price of the accessory
GoogleDriveSettingsView.xaml | Authenticate
HelpView.xaml | Auto-authenticate on startup (if configured).
HelpView.xaml | Automatic backup on application exit (if user was logged in).
BackupView.xaml | Backup &amp; Restore
BackupView.xaml | Backup Database
MainWindow.xaml | Blocked
GoogleDriveSettingsView.xaml | Browse
MainWindow.xaml | Bulk Price Update
HelpView.xaml | Bulk Price Update: change the price for a specific accessory across a date range.
VehicleEditWindow.xaml | Cancel
MainWindow.xaml | Change Password
MainWindow.xaml | Chassis
VehicleEditWindow.xaml | Chassis Number:
HelpView.xaml | Check today's planned work (dashboard).
HelpView.xaml | Choose a local .db backup, a ZIP file, or a Drive backup.
ImportView.xaml | Clear All
HelpView.xaml | Click 'New Work Order' on the dashboard.
HelpView.xaml | Click the '✏️' button in the main grid to edit a work order.
MainWindow.xaml | Client
ClientEditWindow.xaml | Client Code:
GoogleDriveSettingsView.xaml | Client ID:
GoogleDriveSettingsView.xaml | Client Secret:
ImportView.xaml | Clients
HelpView.xaml | Clients – list of all clients with contact details.
ClientManagementView.xaml | Close
HelpView.xaml | Configure Google Drive settings.
HelpView.xaml | Configure your Google Drive Client ID and Secret in Settings.
BackupView.xaml | Conflict resolution:
HelpView.xaml | Conflict resolution: Skip or Overwrite existing records.
WorkOrderDetailWindow.xaml | Cost
BackupView.xaml | Create Backup
BackupView.xaml | Created
HelpView.xaml | Creates a .db copy in your chosen folder.
HelpView.xaml | Creates new clients (cleaned name) and links vehicles to them.
HelpView.xaml | Daily automatic backups are saved in %AppData%\SKAuto\Backups.
MainWindow.xaml | Danger
ImportView.xaml | Date
ImportView.xaml | Date From:
PriceUpdateView.xaml | Date Range
HelpView.xaml | Date range, task type, work status, specific accessory.
TravelDialog.xaml | Date:
HelpView.xaml | Dedicated parser for the standard ParcCarrières export. Same logic as above but optimized for that format.
HelpView.xaml | Define tasks with name, part number, price, time, and task type (Fit, Sell, Remove, Preparation, Travel, Other).
ClientManagementView.xaml | Delete
HelpView.xaml | Delete from the work order detail window or via the 'Delete' button (admin only).
MainWindow.xaml | Delete Work Order
AccessoryManagementView.xaml | Description
AccessoryManagementView.xaml | Description:
WorkOrderDetailWindow.xaml | Destination
TravelDialog.xaml | Destination:
WorkOrderDetailWindow.xaml | Distance
TravelDialog.xaml | Distance (km):
MainWindow.xaml | Done
MainWindow.xaml | Drive
BackupView.xaml | Dry Run (preview only)
HelpView.xaml | 'Dry Run' mode to preview changes without committing.
HelpView.xaml | During the Day
MainWindow.xaml | Edit
ClientEditWindow.xaml | Edit Client
ClientMergeDialog.xaml | Edit Master Client Details
ClientManagementView.xaml | Email
HelpView.xaml | 'Email not configured' – admin must set up SMTP settings in AppConfig.json for password reset.
ClientMergeDialog.xaml | Email:
HelpView.xaml | End of Day (16:00–17:00)
HelpView.xaml | Enter your username and password to access the system.
WorkOrderDetailWindow.xaml | Est. Min
HelpView.xaml | Excel (.xlsx) – editable, pivot‑ready.
BackupView.xaml | Export Data
BackupView.xaml | Export Data to CSV/ZIP
HelpView.xaml | Exports all tables as CSV files in a ZIP archive.
BackupView.xaml | File Name
ReportsView.xaml | Filters
GoogleDriveSettingsView.xaml | Folder ID:
HelpView.xaml | For large imports, uncheck 'Vehicles' and 'Clients' if they already exist – speeds up processing.
HelpView.xaml | For technical issues, contact: roshanwb@gmail.com
HelpView.xaml | 'Foreign key constraint failed' – missing client or vehicle. Import clients/vehicles first.
LoginView.xaml | Forgot Password?
HelpView.xaml | Forgot password? Click 'Forgot Password?' – a verification code will be sent to your registered email.
PriceUpdateView.xaml | From:
HelpView.xaml | Generate daily reports (Excel/PDF).
ReportsView.xaml | Generate Excel
ReportsView.xaml | Generate PDF
ReportsView.xaml | Generate Reports
HelpView.xaml | Generating Reports
GoogleDriveSettingsView.xaml | Get from Google Cloud Console
BackupView.xaml | Google Drive
GoogleDriveSettingsView.xaml | Google Drive Settings
ReportsView.xaml | Group by Task Type
HelpView.xaml | Group by Task Type (for Tasks report).
ReportsView.xaml | Group by Week
HelpView.xaml | Group by Week (combines orders by week).
MainWindow.xaml | Help
HelpView.xaml | Help – SKAuto Work Tracking
MainWindow.xaml | ID
BackupView.xaml | Import
HelpView.xaml | Import any new files (Excel/CSV, ParcCarrières, or PDF folder).
MainWindow.xaml | Import Data
BackupView.xaml | Import from ZIP
ImportView.xaml | Import Options
VehicleManagementView.xaml | Import Vehicles
HelpView.xaml | Import vehicles directly from CSV using the 'Import Vehicles' button.
ImportView.xaml | Import Work Orders
HelpView.xaml | Imports all rows; work orders are created with status = Planned.
HelpView.xaml | Imports VIN, Model, and Client from the same CSV format.
MainWindow.xaml | In Progress
Splash.xaml | Initializing...
AccessoryManagementView.xaml | Is Active
VehicleEditWindow.xaml | Is Active:
HelpView.xaml | Keep only the latest N backups (configurable).
GoogleDriveSettingsView.xaml | Last Sync:
HelpView.xaml | Launch the app from desktop or system tray.
PriceUpdateView.xaml | Leave empty to keep current price
HelpView.xaml | List, upload, and restore backups directly from Drive.
BackupView.xaml | Local Backups
LoginView.xaml | Login
MainWindow.xaml | MainWindow
VehicleManagementView.xaml | Make
VehicleEditWindow.xaml | Make:
ClientManagementView.xaml | Manage Clients
UserManagementView.xaml | Manage Users
HelpView.xaml | Manage users (add, edit, delete, reset passwords).
VehicleManagementView.xaml | Manage Vehicles
HelpView.xaml | Managing Clients, Vehicles, and Accessories
HelpView.xaml | Managing Work Orders
HelpView.xaml | Mark all completed work as 'Done'.
ImportView.xaml | Mark Selected
HelpView.xaml | Marking as 'Done' automatically sets the completion date.
ClientMergeDialog.xaml | Merge Clients
HelpView.xaml | Merge duplicate clients: select multiple clients and click 'Merge'.
ClientManagementView.xaml | Merge Selected
VehicleManagementView.xaml | Model
VehicleEditWindow.xaml | Model:
HelpView.xaml | Morning (8:00–9:00)
AccessoryManagementView.xaml | Name
ClientMergeDialog.xaml | Name:
AccessoryManagementView.xaml | Name:*
PriceUpdateView.xaml | New Price (€)
WorkOrderDetailWindow.xaml | New Task
MainWindow.xaml | New Work Order
MainWindow.xaml | Next Day
MainWindow.xaml | Next Week
MainWindow.xaml | Notes
ClientMergeDialog.xaml | Notes:
ClientMergeDialog.xaml | OK
HelpView.xaml | Open from the main menu → Bulk Price Update.
HelpView.xaml | Optionally update the accessory's default price.
HelpView.xaml | Optionally upload reports to Google Drive.
WorkOrderDetailWindow.xaml | Order Date
WorkOrderDetailWindow.xaml | Order Type
AccessoryManagementView.xaml | Part #
AccessoryManagementView.xaml | Part #:
LoginView.xaml | Password
HelpView.xaml | PDF (.pdf) – printable, client‑friendly.
ClientManagementView.xaml | Phone
ClientMergeDialog.xaml | Phone:
HelpView.xaml | Planned → In Progress → Blocked → Done.
HelpView.xaml | Portable – can be restored on any machine.
MainWindow.xaml | Previous Day
MainWindow.xaml | Previous Week
WorkOrderDetailWindow.xaml | Price
AccessoryManagementView.xaml | Price (€)
AccessoryManagementView.xaml | Price (€):
HelpView.xaml | Print work sheets for mechanics (via reports).
HelpView.xaml | Protect Your Data
Splash.xaml | PSA Certified Partner
WorkOrderDetailWindow.xaml | Qty
HelpView.xaml | Quick Tips
MainWindow.xaml | Refresh
BackupView.xaml | Refresh Drive List
BackupView.xaml | Refresh List
VehicleManagementView.xaml | Reg
VehicleEditWindow.xaml | Registration:
WorkOrderDetailWindow.xaml | Remove
ReportsView.xaml | Report Type
ReportsView.xaml | Reports
AccessoryManagementView.xaml | Requires Password Protection
HelpView.xaml | Requires pdf_accessories_extractor.py in the app folder.
BackupView.xaml | Restore from Drive
BackupView.xaml | Restore Selected
BackupView.xaml | Result
UserManagementView.xaml | Role
UserEditView.xaml | Role:
